complexity_bucket,functions,bugfixed_functions,mean_bugfix_commits,bugfix_share
1-20,45745,12114,0.47707946223631,0.2648158268663242
21-40,992,542,1.7570564516129032,0.5463709677419355
41-60,251,137,2.1553784860557768,0.545816733067729
61-80,84,44,1.3928571428571428,0.5238095238095238
81-100,42,25,1.6904761904761905,0.5952380952380952
101-120,21,11,0.9523809523809523,0.5238095238095238
121-140,3,2,1.0,0.6666666666666666
141-160,6,5,4.166666666666667,0.8333333333333334
161-180,2,1,1.5,0.5
181-200+,5,1,1.8,0.2
